Series_2_5
Sweep_2_5_5,  5.021474720E+04, 13:56:54.747, 2020/02/26 13:56:50.717, "YLP"
"Index", "Time[s]"       , "V-mon[V]"      
    421,  2.105000000E-02, -6.768749654E-02
    422,  2.110000000E-02, -6.756249815E-02
    423,  2.115000000E-02, -6.753125042E-02
    424,  2.120000000E-02, -6.743749976E-02
    425,  2.125000000E-02, -6.746874750E-02
    426,  2.130000000E-02, -6.756249815E-02
    427,  2.135000000E-02, -6.762500107E-02
    428,  2.140000000E-02, -6.771875173E-02
    429,  2.145000000E-02, -6.750000268E-02
    430,  2.150000000E-02, -6.756249815E-02
    431,  2.155000000E-02, -6.753125042E-02
    432,  2.160000000E-02, -6.759375334E-02
    433,  2.165000000E-02, -6.759375334E-02
    434,  2.170000000E-02, -6.746874750E-02
    435,  2.175000000E-02, -6.756249815E-02
    436,  2.180000000E-02, -6.750000268E-02
    437,  2.185000000E-02, -6.759375334E-02
    438,  2.190000000E-02, -6.768749654E-02
    439,  2.195000000E-02, -6.750000268E-02
    440,  2.200000000E-02, -6.759375334E-02
    441,  2.205000000E-02, -6.759375334E-02
    442,  2.210000000E-02, -6.746874750E-02
    443,  2.215000000E-02, -6.750000268E-02
    444,  2.220000000E-02, -6.759375334E-02
    445,  2.225000000E-02, -6.756249815E-02
    446,  2.230000000E-02, -6.762500107E-02
    447,  2.235000000E-02, -6.762500107E-02
    448,  2.240000000E-02, -6.768749654E-02
    449,  2.245000000E-02, -6.771875173E-02
    450,  2.250000000E-02, -6.771875173E-02
    451,  2.255000000E-02, -6.756249815E-02
    452,  2.260000000E-02, -6.756249815E-02
    453,  2.265000000E-02, -6.756249815E-02
    454,  2.270000000E-02, -6.753125042E-02
    455,  2.275000000E-02, -6.759375334E-02
    456,  2.280000000E-02, -6.756249815E-02
    457,  2.285000000E-02, -6.756249815E-02
    458,  2.290000000E-02, -6.759375334E-02
    459,  2.295000000E-02, -6.746874750E-02
    460,  2.300000000E-02, -6.762500107E-02
    461,  2.305000000E-02, -6.768749654E-02
    462,  2.310000000E-02, -6.768749654E-02
    463,  2.315000000E-02, -6.750000268E-02
    464,  2.320000000E-02, -6.756249815E-02
    465,  2.325000000E-02, -6.762500107E-02
    466,  2.330000000E-02, -6.753125042E-02
    467,  2.335000000E-02, -6.759375334E-02
    468,  2.340000000E-02, -6.768749654E-02
    469,  2.345000000E-02, -6.759375334E-02
    470,  2.350000000E-02, -6.771875173E-02
    471,  2.355000000E-02, -6.768749654E-02
    472,  2.360000000E-02, -6.759375334E-02
    473,  2.365000000E-02, -6.753125042E-02
    474,  2.370000000E-02, -6.768749654E-02
    475,  2.375000000E-02, -6.759375334E-02
    476,  2.380000000E-02, -6.750000268E-02
    477,  2.385000000E-02, -6.753125042E-02
    478,  2.390000000E-02, -6.762500107E-02
    479,  2.395000000E-02, -6.762500107E-02
    480,  2.400000000E-02, -6.762500107E-02
    481,  2.405000000E-02, -6.774999946E-02
    482,  2.410000000E-02, -6.762500107E-02
    483,  2.415000000E-02, -6.768749654E-02
    484,  2.420000000E-02, -6.768749654E-02
    485,  2.425000000E-02, -6.768749654E-02
    486,  2.430000000E-02, -6.759375334E-02
    487,  2.435000000E-02, -6.750000268E-02
    488,  2.440000000E-02, -6.768749654E-02
    489,  2.445000000E-02, -6.771875173E-02
    490,  2.450000000E-02, -6.750000268E-02
    491,  2.455000000E-02, -6.759375334E-02
    492,  2.460000000E-02, -6.759375334E-02
    493,  2.465000000E-02, -6.759375334E-02
    494,  2.470000000E-02, -6.768749654E-02
    495,  2.475000000E-02, -6.756249815E-02
    496,  2.480000000E-02, -6.753125042E-02
    497,  2.485000000E-02, -6.768749654E-02
    498,  2.490000000E-02, -6.768749654E-02
    499,  2.495000000E-02, -6.762500107E-02
    500,  2.500000000E-02, -6.756249815E-02
    501,  2.505000000E-02, -6.774999946E-02
    502,  2.510000000E-02, -6.771875173E-02
    503,  2.515000000E-02, -6.759375334E-02
    504,  2.520000000E-02, -6.768749654E-02
    505,  2.525000000E-02, -6.762500107E-02
    506,  2.530000000E-02, -6.762500107E-02
    507,  2.535000000E-02, -6.756249815E-02
    508,  2.540000000E-02, -6.753125042E-02
    509,  2.545000000E-02, -6.774999946E-02
    510,  2.550000000E-02, -6.759375334E-02
    511,  2.555000000E-02, -6.762500107E-02
    512,  2.560000000E-02, -6.759375334E-02
    513,  2.565000000E-02, -6.768749654E-02
    514,  2.570000000E-02, -6.768749654E-02
    515,  2.575000000E-02, -6.762500107E-02
    516,  2.580000000E-02, -6.762500107E-02
    517,  2.585000000E-02, -6.756249815E-02
    518,  2.590000000E-02, -6.762500107E-02
    519,  2.595000000E-02, -6.768749654E-02
    520,  2.600000000E-02, -6.756249815E-02
    521,  2.605000000E-02, -6.768749654E-02
    522,  2.610000000E-02, -6.774999946E-02
    523,  2.615000000E-02, -6.762500107E-02
    524,  2.620000000E-02, -6.750000268E-02
    525,  2.625000000E-02, -6.768749654E-02
    526,  2.630000000E-02, -6.762500107E-02
    527,  2.635000000E-02, -6.768749654E-02
    528,  2.640000000E-02, -6.768749654E-02
    529,  2.645000000E-02, -6.750000268E-02
    530,  2.650000000E-02, -6.768749654E-02
    531,  2.655000000E-02, -6.759375334E-02
    532,  2.660000000E-02, -6.768749654E-02
    533,  2.665000000E-02, -6.759375334E-02
    534,  2.670000000E-02, -6.756249815E-02
    535,  2.675000000E-02, -6.756249815E-02
    536,  2.680000000E-02, -6.762500107E-02
    537,  2.685000000E-02, -6.762500107E-02
    538,  2.690000000E-02, -6.774999946E-02
    539,  2.695000000E-02, -6.774999946E-02
    540,  2.700000000E-02, -6.759375334E-02
    541,  2.705000000E-02, -6.762500107E-02
    542,  2.710000000E-02, -6.778124720E-02
    543,  2.715000000E-02, -6.771875173E-02
    544,  2.720000000E-02, -6.762500107E-02
    545,  2.725000000E-02, -6.768749654E-02
    546,  2.730000000E-02, -6.762500107E-02
    547,  2.735000000E-02, -6.771875173E-02
    548,  2.740000000E-02, -6.774999946E-02
    549,  2.745000000E-02, -6.762500107E-02
    550,  2.750000000E-02, -6.756249815E-02
    551,  2.755000000E-02, -6.756249815E-02
    552,  2.760000000E-02, -6.771875173E-02
    553,  2.765000000E-02, -6.771875173E-02
    554,  2.770000000E-02, -6.756249815E-02
    555,  2.775000000E-02, -6.771875173E-02
    556,  2.780000000E-02, -6.768749654E-02
    557,  2.785000000E-02, -6.762500107E-02
    558,  2.790000000E-02, -6.771875173E-02
    559,  2.795000000E-02, -6.768749654E-02
    560,  2.800000000E-02, -6.759375334E-02
    561,  2.805000000E-02, -6.774999946E-02
    562,  2.810000000E-02, -6.771875173E-02
    563,  2.815000000E-02, -6.762500107E-02
